Neighborhood,Metric
South Side Flats,0.899682251
Central Business District,0.931457104
East Allegheny,0.93191103
Carrick,0.94734453
East Liberty,0.950068089
Brookline,0.960054471
Sheraden,0.960508398
Knoxville,0.962324103
Golden Triangle/Civic Arena,0.962324103
North Shore,0.963685883
Homewood South,0.963685883
Allegheny Center,0.966863368
Homewood North,0.967317295
Fineview,0.967771221
Lincoln-Lemington-Belmar,0.968225148
Hazelwood,0.969586927
Bloomfield,0.969586927
Brighton Heights,0.97049478
Marshall-Shadeland,0.970948706
Allentown,0.972310486
Beechview,0.972764412
Mount Washington,0.972764412
East Hills,0.973218339
Middle Hill,0.973218339
Crawford-Roberts,0.973218339
Central North Side,0.973672265
Bluff,0.974126192
Perry South,0.974580118
Garfield,0.97684975
Central Oakland,0.97684975
Homewood West,0.97821153
Shadyside,0.979119383
South Side Slopes,0.979573309
Squirrel Hill South,0.979573309
Elliott,0.980481162
Greenfield,0.980935089
Highland Park,0.981389015
Northview Heights,0.982750794
Larimer,0.982750794
Crafton Heights,0.983204721
Chateau,0.9845665
Spring Hill-City View,0.985020427
Strip District,0.986382206
Bedford Dwellings,0.986382206
Perry North,0.986836133
Beltzhoover,0.987743985
Troy Hill,0.988197912
Central Northside,0.989559691
Central Lawrenceville,0.989559691
West Oakland,0.989559691
Lower Lawrenceville,0.990467544
Arlington,0.990921471
Terrace Village,0.990921471
Westwood,0.990921471
Manchester,0.990921471
Banksville,0.990921471
North Oakland,0.991375397
West End,0.991829324
Point Breeze North,0.992737177
Morningside,0.992737177
Upper Hill,0.992737177
Overbrook,0.993191103
Stanton Heights,0.993191103
Point Breeze,0.993191103
California-Kirkbride,0.99364503
South Oakland,0.99364503
Spring Garden,0.994098956
Arlington Heights,0.994098956
South Shore,0.994098956
Mount Oliver,0.994098956
Upper Lawrenceville,0.994552882
Friendship,0.995006809
Bon Air,0.995006809
Esplen,0.995006809
Fairywood,0.995006809
Glen Hazel,0.995460735
Duquesne Heights,0.996822515
Allegheny West,0.996822515
East Carnegie,0.996822515
Squirrel Hill North,0.996822515
Troy Hill-Herrs Island,0.997276441
Lincoln Place,0.997276441
Oakwood,0.997730368
Polish Hill,0.997730368
Regent Square,0.997730368
Summer Hill,0.998184294
Windgap,0.998638221
St. Clair,0.998638221
Ridgemont,0.999092147
Mount Oliver,0.999092147
New Homestead,0.999546074
Hays,0.999546074
Chartiers City,0.999546074
Swisshelm Park,0.999546074
