Neighborhood,on_time_percent
Robinson,0.443311765
Allegheny Valley,0.452562745
Mount Royal,0.45535196099999997
Holiday Park,0.463354902
McCandless,0.466937255
Banksville,0.47324313700000004
Homestead Park,0.47407776199999996
Homeville,0.486707843
Emsworth,0.49519411799999996
Mckeesport,0.503584115
Moon,0.503776471
Jefferson Hills,0.5043333329999999
Lincoln Park,0.507788235
Edgewood,0.511388235
Baldwin Manor,0.51747451
Spring Garden,0.521676471
Trafford,0.5272608375
Ross,0.5307385446666667
Squirrel Hill,0.533355229
Kennedy,0.535864706
Penn Hills,0.5420771595
Carrick,0.5632347905
Monroeville,0.5678338505
Braddock Hills,0.5775001905
Swissvale,0.579054372
Manchester,0.59275098
Bridgeville,0.5990767625
Point Breeze,0.599376577
Oakmont,0.59955
Lincoln,0.603596396
East Oakland,0.6058941179999999
Liberty,0.607715315
Tarentum,0.612117117
Lawrenceville,0.6204504503333333
Waterfront,0.630884685
West Mifflin,0.6351636135000001
Troy Hill,0.636262963
Oak Hill,0.645314414
North Braddock,0.648918919
Bedford Hill,0.65187027
Bailey,0.653884685
Ellsworth,0.6561234229999999
Downtown,0.65907579475
Mccoy,0.662460494
East Hills,0.665391892
Coraopolis,0.665534234
Negley,0.666961261
West Park,0.670725225
Mon Valley,0.671525225
Green Tree,0.672145946
Hamilton,0.675254054
Oakland,0.676203604
Hazelwood,0.6784315320000001
Shadeland,0.6792855859999999
Highland Park,0.682932432
Belleview,0.6922918920000001
Garfield Commons,0.696401802
Elizabeth,0.699136036
Arlington,0.699793694
Bower Hill,0.70147027
Friendship,0.703964865
Brookline,0.704054321
Perrysville,0.707428829
Brighton,0.716272072
Greenfield,0.719994595
Fineview,0.733786486
Spring Hill,0.733859459
Lincoln Place,0.735925225
Glassport,0.736037838
Charles,0.737230631
Knoxville,0.766630631
Fairywood,0.7687342340000001
Ohio Valley,0.774415315
Mount Washington,0.7767072070000001
Carnegie,0.782421622
Chartiers,0.784923423
South Hills,0.843635556
Castle Shannon,0.860726667
