epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1584920736,03/23/2020 00:45:36 +01:00,1,40.3369,-79.8202,15132,,,
1584926580,03/23/2020 02:23:00 +01:00,5,40.4517,-79.9417,15213,,,
1584926646,03/23/2020 02:24:06 +01:00,4,40.4035,-80.0191,15226,,,
1584966011,03/23/2020 13:20:11 +01:00,1,40.3387,-79.8178,15132,,,
1584967878,03/23/2020 13:51:18 +01:00,3,40.4635,-79.9431,15224,,"stuffy sinuses, nasal congestion",
1584969416,03/23/2020 14:16:56 +01:00,4,40.3062,-79.8637,15037,,"burning eyes, breathing difficult",
1584969830,03/23/2020 14:23:50 +01:00,4,40.3064,-79.8614,15037,chemical smell,headache burning eyes difficult breathing,"chemical smell outside, different than usual mill smell which is bad enough, but this is like a chemical burning giving headache burning eyes and nose difficult breathing"
1584972356,03/23/2020 15:05:56 +01:00,3,40.4321,-79.897,15218,"Rotten eggs
",,
1584972620,03/23/2020 15:10:20 +01:00,5,40.4066,-79.8722,15104,"Industrial, sulphur","Headache, dry itchy eyes, assaulted as soon as I walked out the door",
1584977721,03/23/2020 16:35:21 +01:00,3,40.4287,-79.8824,15218,Wind shifted enough that we're starting to get acrid emmissions from ET.,,
1584987890,03/23/2020 19:24:50 +01:00,4,40.6171,-79.8959,15044,Wood smoke possibly garbage and plastics. ,Headache sore throat asthmatic issues. ,
1584988158,03/23/2020 19:29:18 +01:00,3,40.4979,-80.0649,15202,Sulfur / industrial ,,
1584988904,03/23/2020 19:41:44 +01:00,5,40.4384,-79.9321,15217,,,
1584991082,03/23/2020 20:18:02 +01:00,1,40.3886,-79.888,15122,,,
1584991891,03/23/2020 20:31:31 +01:00,5,40.2601,-79.9159,15025,,,
1584991982,03/23/2020 20:33:02 +01:00,3,40.4709,-80.0365,15212,Burning smell,None,
1584992578,03/23/2020 20:42:58 +01:00,2,40.4329,-79.9276,15217,"Industrial exhaust, sulfur",,
1584994091,03/23/2020 21:08:11 +01:00,4,40.4276,-79.8664,15221,Coke works,,
1584994855,03/23/2020 21:20:55 +01:00,3,40.4289,-79.8827,15218,Acrid sulfur.,,
1584998202,03/23/2020 22:16:42 +01:00,4,40.4294,-79.8857,15218,Smells like acrid immissions from ET. Winds out of South.,,
1584998206,03/23/2020 22:16:46 +01:00,3,40.4509,-79.9033,15208,Sulfur ,,
1585000833,03/23/2020 23:00:33 +01:00,1,40.4714,-79.9129,15206,,,
1585008471,03/24/2020 01:07:51 +01:00,5,40.2624,-79.9141,15025,,,
1585009205,03/24/2020 01:20:05 +01:00,1,40.5319,-80.0147,15237,,,
1585032074,03/24/2020 07:41:14 +01:00,1,40.5273,-79.8357,15139,,,
1585036580,03/24/2020 08:56:20 +01:00,3,40.4855,-80.0459,15212,,,
1585061099,03/24/2020 15:44:59 +01:00,4,40.4577,-79.9254,15206,Coal burning,Nose sinus irritation,
1585066283,03/24/2020 17:11:23 +01:00,3,40.3198,-79.9549,15236,Industrial ,,
1585069264,03/24/2020 18:01:04 +01:00,4,40.2882,-79.8169,15037,"Smoke, coal","Burning in nose, throat, and eyes",
1585069474,03/24/2020 18:04:34 +01:00,3,40.4745,-79.9146,15206,Rotten eggs,,
1585069928,03/24/2020 18:12:08 +01:00,3,40.473,-79.9238,15206,,,
1585071181,03/24/2020 18:33:01 +01:00,3,40.3533,-79.9692,15227,Industrial,,
1585072636,03/24/2020 18:57:16 +01:00,3,40.3789,-80.0352,15228,"Sulfur, industrial ",,
1585074187,03/24/2020 19:23:07 +01:00,4,40.4843,-80.0469,15212,,,
1585074595,03/24/2020 19:29:55 +01:00,3,40.5268,-79.9618,15116,Coal smoke,,
1585076308,03/24/2020 19:58:28 +01:00,5,40.4525,-79.9056,15208, Burning plastic ,,
1585077900,03/24/2020 20:25:00 +01:00,3,40.3499,-80.1002,15017,Exhaust,,
1585080457,03/24/2020 21:07:37 +01:00,3,40.3878,-79.8586,15122,"Unusual, not just sulfur dioxide",,
1585081091,03/24/2020 21:18:11 +01:00,5,40.471,-79.9171,15206,Sulfur from clairton,Coughing and difficulty breathing,"At a time when a contagious respiratory disease is circulating, you should recognize that cancerous pollution is only making this worse"
1585083947,03/24/2020 22:05:47 +01:00,3,40.3849,-80.0034,15234,,Headache,Everything should be shit down.  Why is there pollution?
1585084554,03/24/2020 22:15:54 +01:00,3,40.3075,-80.0485,15102,woodsmoke ,,
1585085617,03/24/2020 22:33:37 +01:00,3,40.4706,-79.9741,15209,Industrial,,
1585087601,03/24/2020 23:06:41 +01:00,5,40.3844,-79.8627,15110,,,
1585091635,03/25/2020 00:13:55 +01:00,4,40.3848,-79.8577,15110,"Very bad across the river from Edgar Thomson. Not the usual sulfur dioxide. Is this nitrous oxide, perhaps?",,
1585093983,03/25/2020 00:53:03 +01:00,3,40.3797,-79.8647,15110,Rotten eggs,,
1585094114,03/25/2020 00:55:14 +01:00,3,40.3987,-79.904,15120,Woodsmoke ,,
1585103754,03/25/2020 03:35:54 +01:00,4,40.485,-80.0481,15212,,,
1585104491,03/25/2020 03:48:11 +01:00,1,40.4446,-79.8914,15221,,,
1585109479,03/25/2020 05:11:19 +01:00,5,40.453,-79.9435,15213,,,
1585114989,03/25/2020 06:43:09 +01:00,3,40.4182,-79.8362,15112,,,
1585127367,03/25/2020 10:09:27 +01:00,1,40.4468,-79.898,15208,,,
1585138793,03/25/2020 13:19:53 +01:00,3,40.4278,-79.885,15218,Wood Smoke.,,
1585141575,03/25/2020 14:06:15 +01:00,3,40.5291,-79.9647,15116,"Coal smoke
",,
1585142357,03/25/2020 14:19:17 +01:00,1,40.3801,-80.0607,15243,,,
1585147988,03/25/2020 15:53:08 +01:00,5,40.4101,-79.9056,15120,Idling Norfolk Southern train.,"Burning eyes, coughing.",
